state,county,tract,kfr_pooled_pooled_p25,par_rank_pooled_pooled_mean,kid_pooled_pooled_n,kid_black_pooled_n,geoid
17,31,161000,0.48986542,0.59160441,401.0,12.0,17031161000
17,31,161100,0.43431321,0.58692747,423.0,2.0,17031161100
17,31,161200,0.45508996,0.42418787,824.0,9.0,17031161200
17,31,161300,0.40220159,0.41651547,1159.0,5.0,17031161300
17,31,170100,0.50027299,0.54725426,137.0,31.0,17031170100
17,31,170200,0.48247802,0.56169426,888.0,2.0,17031170200
17,31,170300,0.46706092,0.58449012,1044.0,2.0,17031170300
17,31,170400,0.46173048,0.58438247,762.0,2.0,17031170400
17,31,170500,0.5243606,0.60934311,1075.0,2.0,17031170500
17,31,170600,0.5573563,0.61855626,503.0,0.0,17031170600
17,31,170700,0.49628556,0.55503541,658.0,0.0,17031170700
17,31,170800,0.47996545,0.54646403,765.0,0.0,17031170800
17,31,170900,0.50581306,0.47043413,335.0,3.0,17031170900
17,31,171000,0.44204435,0.54150563,1539.0,14.0,17031171000
17,31,171100,0.47426444,0.49272323,855.0,3.0,17031171100
17,31,180100,0.47136119,0.50316477,1257.0,6.0,17031180100
17,31,190100,0.38049728,0.41895765,818.0,28.0,17031190100
17,31,190200,0.42867321,0.43907908,1824.0,9.0,17031190200
17,31,190300,0.44704509,0.43685013,1421.0,13.0,17031190300
17,31,190401,0.45603326,0.47908068,1007.0,12.0,17031190401
17,31,190402,0.42653695,0.45388004,1292.0,16.0,17031190402
17,31,190601,0.40069088,0.43361741,1255.0,30.0,17031190601
17,31,190602,0.45647806,0.44602042,1523.0,37.0,17031190602
17,31,190701,0.47521573,0.43283081,921.0,10.0,17031190701
17,31,190702,0.42887834,0.37897566,1517.0,17.0,17031190702
17,31,190800,0.42037839,0.42961514,1988.0,27.0,17031190800
17,31,190900,0.41097525,0.45481527,648.0,9.0,17031190900
17,31,191000,0.41585925,0.38135371,916.0,33.0,17031191000
17,31,191100,0.3929534,0.39755878,2553.0,82.0,17031191100
17,31,191200,0.38640442,0.37272391,1318.0,30.0,17031191200
17,31,191301,0.39450529,0.41049123,1783.0,115.0,17031191301
17,31,191302,0.38459274,0.40546137,1663.0,108.0,17031191302
17,31,200100,0.41967767,0.46667323,1230.0,39.0,17031200100
17,31,200200,0.39658305,0.41329062,1920.0,29.0,17031200200
17,31,200300,0.40697435,0.36532292,812.0,33.0,17031200300
17,31,200401,0.40783486,0.38288036,1444.0,45.0,17031200401
17,31,200402,0.39587235,0.35276809,1761.0,54.0,17031200402
17,31,210100,0.38736635,0.43363509,1063.0,18.0,17031210100
17,31,210400,0.42842188,0.40051293,879.0,3.0,17031210400
17,31,210501,0.41346776,0.32777825,1161.0,14.0,17031210501
17,31,210502,0.40000638,0.32007843,1335.0,16.0,17031210502
17,31,210601,0.415784,0.41464674,1064.0,28.0,17031210601
17,31,210602,0.4024491,0.33074749,1606.0,43.0,17031210602
17,31,210700,0.41616032,0.39673835,1496.0,23.0,17031210700
17,31,210800,0.43605286,0.30313998,414.0,17.0,17031210800
17,31,210900,0.39208928,0.40191373,880.0,16.0,17031210900
17,31,220300,0.37507433,0.41172376,520.0,6.0,17031220300
17,31,220400,0.38718367,0.46573004,568.0,18.0,17031220400
17,31,220500,0.41252202,0.40193921,574.0,27.0,17031220500
17,31,220601,0.35727987,0.42108458,511.0,33.0,17031220601
17,31,220602,0.3857623,0.33024007,1464.0,96.0,17031220602
17,31,220701,0.40664929,0.35851213,1315.0,33.0,17031220701
17,31,220702,0.36888006,0.36647081,1545.0,39.0,17031220702
17,31,220901,0.38826627,0.31723738,1468.0,100.0,17031220901
17,31,220902,0.40643713,0.37677169,1414.0,97.0,17031220902
17,31,221000,0.38390017,0.31345797,1391.0,122.0,17031221000
17,31,221100,0.36849153,0.32387137,1663.0,216.0,17031221100
17,31,221200,0.39804423,0.3188574,960.0,106.0,17031221200
17,31,221300,0.41321975,0.33113095,1031.0,53.0,17031221300
17,31,221400,0.40491837,0.3207207,1072.0,29.0,17031221400
17,31,221500,0.40834728,0.30637723,850.0,36.0,17031221500
