geoid,Threshold,jobs
17031030400,35,74622.84316353887
17031030400,40,102178.4081769437
17031030400,45,149293.01608579088
17031030400,50,292209.1575067024
17031030400,55,678918.336461126
17031030400,60,970727.8304289544
17031030500,5,164.41933534743202
17031030500,10,998.4117824773414
17031030500,15,4245.8894259818735
17031030500,20,12675.840785498487
17031030500,25,27864.07583081571
17031030500,30,50962.37613293051
17031030500,35,89452.91963746224
17031030500,40,198250.38972809663
17031030500,45,433458.9728096677
17031030500,50,745695.8274924471
17031030500,55,992403.0335347432
17031030500,60,1098537.5042296073
17031030601,5,142.56975138121547
17031030601,10,1092.350138121547
17031030601,15,6647.238259668508
17031030601,20,15651.593922651931
17031030601,25,28331.04212707182
17031030601,30,59499.87845303868
17031030601,35,147785.17541436464
17031030601,40,385314.3784530387
17031030601,45,711457.3729281768
17031030601,50,950276.7037292818
17031030601,55,1073423.361878453
17031030601,60,1149746.6864640885
17031030603,5,273.4647224835372
17031030603,10,1416.258701787394
17031030603,15,6461.958607714017
17031030603,20,18726.74694261524
17031030603,25,32866.049858889935
17031030603,30,74506.97083725306
17031030603,35,199768.98118532455
17031030603,40,527859.9463781749
17031030603,45,803950.8024459078
17031030603,50,992388.7318908748
17031030603,55,1100716.706491063
17031030603,60,1171288.9717779867
17031030604,5,176.9994404029099
17031030604,10,1456.1460548405148
17031030604,15,7363.3743704532735
17031030604,20,15599.273083379969
17031030604,25,26620.20369334079
17031030604,30,77255.18410744265
17031030604,35,174423.8970341354
17031030604,40,369800.60044767766
17031030604,45,678690.5321768327
17031030604,50,915802.3939563514
17031030604,55,1038625.2893116956
17031030604,60,1115099.6972579742
17031030701,5,436.22860492379834
17031030701,10,1606.9742086752638
17031030701,15,6878.359906213364
17031030701,20,20657.83587338804
17031030701,25,34218.14654161782
17031030701,30,101652.13599062132
17031030701,35,267518.0281359906
17031030701,40,625531.164126612
17031030701,45,883714.8124267292
17031030701,50,1018503.1711606096
17031030701,55,1123249.736225088
17031030701,60,1174606.9097303634
17031030702,5,634.4634377967711
17031030702,10,2469.8556505223173
17031030702,15,6588.98195631529
17031030702,20,18021.375118708453
17031030702,25,49703.97530864197
17031030702,30,112613.73599240264
17031030702,35,259141.94112060775
17031030702,40,509119.9012345679
17031030702,45,811507.0256410256
17031030702,50,971325.5565052232
17031030702,55,1058678.611585945
17031030702,60,1131720.8148148148
17031030703,5,355.9949335022166
17031030703,10,2183.511716276124
17031030703,15,7340.644078530716
17031030703,20,18363.683343888537
17031030703,25,44012.230525649145
17031030703,30,111945.97910069664
17031030703,35,261613.58454718176
17031030703,40,552512.0449651679
17031030703,45,839511.0329322356
17031030703,50,999325.6003799874
17031030703,55,1097162.627612413
17031030703,60,1165653.3774540848
17031030706,5,485.8847402597403
17031030706,10,2163.2743506493507
17031030706,15,6980.472402597403
17031030706,20,18391.33279220779
17031030706,25,45846.354707792205
17031030706,30,121842.29464285714
17031030706,35,258818.87824675324
17031030706,40,510622.98782467534
17031030706,45,806210.0811688312
17031030706,50,975564.4147727272
17031030706,55,1074030.107142857
17031030706,60,1144229.6866883116
17031030800,5,323.53756476683935
17031030800,10,1817.7677029360968
17031030800,15,5562.499568221071
17031030800,20,14241.76122625216
17031030800,25,30775.613126079446
17031030800,30,59711.96545768566
17031030800,35,107874.95682210708
17031030800,40,226153.53756476683
17031030800,45,479400.4922279793
17031030800,50,809397.207685665
17031030800,55,1028254.4114853196
17031030800,60,1113332.4550949913
17031030900,5,349.6952498457742
17031030900,10,1852.9420111042568
17031030900,15,4877.06662553979
17031030900,20,10639.363355953115
17031030900,25,25754.421961752007
17031030900,30,53170.45033929673
17031030900,35,85620.82418260333
17031030900,40,120668.28747686611
17031030900,45,208129.7223935842
17031030900,50,488564.4090067859
17031030900,55,898745.9376927823
17031030900,60,1070407.1036397286
17031031000,5,294.20035778175315
17031031000,10,1744.7571556350626
17031031000,15,6056.8488372093025
17031031000,20,15376.312611806798
17031031000,25,36108.61538461538
17031031000,30,67718.90161001789
17031031000,35,120811.25670840788
17031031000,40,239209.4114490161
17031031000,45,520735.1346153846
17031031000,50,940320.3041144902
17031031000,55,1105613.864490161
17031031000,60,1171525.6842576028
17031031100,5,308.2808145766345
17031031100,10,1736.5505537692034
17031031100,15,5962.734548052876
17031031100,20,15226.317256162914
17031031100,25,32605.78277956413
17031031100,30,63189.91532690247
17031031100,35,123813.53411932834
